YEAR,MONTH,Datetime,Rainfall,Precipitation_Anomaly,SPAI
1903,Apr,01-04-1903,0.0,-3.681514285714286,-0.5528446396470083
1903,May,01-05-1903,11.937,4.0668857142857116,0.45054206175179545
1903,Jun,01-06-1903,3.44,-45.421242857142865,-1.0153440411885626
1903,Jul,01-07-1903,287.291,106.33002857142856,1.1382887180036043
1903,Aug,01-08-1903,185.468,23.452171428571432,0.23827295193662382
1903,Sep,01-09-1903,147.905,51.68965714285714,0.6781642781203021
1903,Oct,01-10-1903,2.383,-5.5375999999999985,-0.47199763435763975
1903,Nov,01-11-1903,0.039,-8.688314285714284,-0.5338813412207617
1903,Dec,01-12-1903,0.0,-2.653542857142857,-0.5841881142377359
1904,Jan,01-01-1904,0.429,-2.8551285714285717,-0.6816501147438274
1904,Feb,01-02-1904,2.02,-1.1140142857142852,-0.18086426652154708
1904,Mar,01-03-1904,26.237,20.93042857142857,2.1841860519748413
1904,Apr,01-04-1904,0.0,-3.681514285714286,-0.5528446396470083
1904,May,01-05-1904,14.769,6.898885714285712,0.7642796999645246
1904,Jun,01-06-1904,51.707,2.8457571428571384,0.06361390344948264
1904,Jul,01-07-1904,117.672,-63.28897142857144,-0.6775237730967105
1904,Aug,01-08-1904,79.146,-82.86982857142856,-0.8419535368115398
1904,Sep,01-09-1904,68.75,-27.465342857142858,-0.36034316034566233
1904,Oct,01-10-1904,11.705,3.7844000000000015,0.32256353789783526
1904,Nov,01-11-1904,5.116,-3.6113142857142844,-0.2219087904769933
1904,Dec,01-12-1904,11.12,8.466457142857141,1.863924533665087
1905,Jan,01-01-1905,4.074,0.7898714285714283,0.18857853033539107
1905,Feb,01-02-1905,6.229,3.094985714285715,0.5024821748583197
1905,Mar,01-03-1905,2.075,-3.231571428571428,-0.33722927441061823
1905,Apr,01-04-1905,8.199,4.517485714285714,0.678380570602685
1905,May,01-05-1905,2.768,-5.102114285714288,-0.5652278551876492
1905,Jun,01-06-1905,20.722,-28.13924285714286,-0.6290231345808452
1905,Jul,01-07-1905,99.946,-81.01497142857144,-0.8672848978365346
1905,Aug,01-08-1905,9.432,-152.58382857142857,-1.5502444778829034
1905,Sep,01-09-1905,62.886,-33.329342857142855,-0.43727838388383955
1905,Oct,01-10-1905,0.0,-7.9205999999999985,-0.6751127677501304
1905,Nov,01-11-1905,0.039,-8.688314285714284,-0.5338813412207617
1905,Dec,01-12-1905,0.19,-2.463542857142857,-0.5423588513688925
1906,Jan,01-01-1906,0.0,-3.2841285714285715,-0.7840720869630277
1906,Feb,01-02-1906,43.472,40.337985714285715,6.549018807038652
1906,Mar,01-03-1906,3.039,-2.267571428571428,-0.23663146070994842
1906,Apr,01-04-1906,0.0,-3.681514285714286,-0.5528446396470083
1906,May,01-05-1906,1.03,-6.840114285714288,-0.7577688210117035
1906,Jun,01-06-1906,48.59,-0.2712428571428589,-0.006063348367220026
1906,Jul,01-07-1906,160.278,-20.68297142857145,-0.22141622031182215
1906,Aug,01-08-1906,72.257,-89.75882857142855,-0.9119454508179171
1906,Sep,01-09-1906,136.599,40.38365714285713,0.5298304381948875
1906,Oct,01-10-1906,0.059,-7.861599999999998,-0.6700838995712981
1906,Nov,01-11-1906,0.039,-8.688314285714284,-0.5338813412207617
1906,Dec,01-12-1906,18.342,15.688457142857143,3.4538768307113767
1907,Jan,01-01-1907,4.374,1.0898714285714282,0.2602022871320347
1907,Feb,01-02-1907,20.537,17.402985714285713,2.8254379561040155
1907,Mar,01-03-1907,0.667,-4.639571428571428,-0.48416052097757173
1907,Apr,01-04-1907,14.725,11.043485714285714,1.6583751701989164
1907,May,01-05-1907,4.882,-2.988114285714288,-0.33103245717150925
1907,Jun,01-06-1907,10.65,-38.211242857142864,-0.8541720855907361
1907,Jul,01-07-1907,86.726,-94.23497142857144,-1.0088082008411872
1907,Aug,01-08-1907,261.89,99.87417142857143,1.0147168555794461
1907,Sep,01-09-1907,1.833,-94.38234285714286,-1.2382889914343735
1907,Oct,01-10-1907,0.0,-7.9205999999999985,-0.6751127677501304
1907,Nov,01-11-1907,0.45,-8.277314285714285,-0.5086261278357529
1907,Dec,01-12-1907,0.0,-2.653542857142857,-0.5841881142377359
1908,Jan,01-01-1908,11.288,8.00387142857143,1.9108911354386777
1908,Feb,01-02-1908,0.0,-3.134014285714285,-0.5088186052213167
1908,Mar,01-03-1908,0.0,-5.306571428571428,-0.5537650248555248
1908,Apr,01-04-1908,0.422,-3.259514285714286,-0.489473857999811
1908,May,01-05-1908,3.262,-4.608114285714288,-0.5105010214033667
1908,Jun,01-06-1908,27.672,-21.18924285714286,-0.4736632051210814
1908,Jul,01-07-1908,432.441,251.48002857142853,2.692154635637893
1908,Aug,01-08-1908,313.776,151.76017142857145,1.5418761602876647
1908,Sep,01-09-1908,288.739,192.52365714285713,2.525895395408097
1908,Oct,01-10-1908,0.893,-7.027599999999999,-0.5989978646366205
1908,Nov,01-11-1908,6.134,-2.5933142857142837,-0.1593545149880912
1908,Dec,01-12-1908,0.19,-2.463542857142857,-0.5423588513688925
1909,Jan,01-01-1909,13.532,10.247871428571429,2.4466368362775706
1909,Feb,01-02-1909,0.223,-2.9110142857142853,-0.47261374505792636
1909,Mar,01-03-1909,0.0,-5.306571428571428,-0.5537650248555248
1909,Apr,01-04-1909,26.655,22.973485714285715,3.449876177428975
1909,May,01-05-1909,5.956,-1.9141142857142874,-0.21205144606964835
1909,Jun,01-06-1909,40.131,-8.730242857142862,-0.19515538337443458
1909,Jul,01-07-1909,323.511,142.55002857142858,1.526032593557956
1909,Aug,01-08-1909,61.572,-100.44382857142855,-1.020504545194191
1909,Sep,01-09-1909,256.662,160.44665714285713,2.1050476523258865
1909,Oct,01-10-1909,0.0,-7.9205999999999985,-0.6751127677501304
1909,Nov,01-11-1909,0.039,-8.688314285714284,-0.5338813412207617
1909,Dec,01-12-1909,5.524,2.870457142857143,0.6319426651701056
1910,Jan,01-01-1910,2.646,-0.6381285714285716,-0.15235055201663186
1910,Feb,01-02-1910,0.715,-2.4190142857142853,-0.3927357576122399
1910,Mar,01-03-1910,0.0,-5.306571428571428,-0.5537650248555248
1910,Apr,01-04-1910,9.81,6.1284857142857145,0.9203007820567962
1910,May,01-05-1910,2.865,-5.005114285714288,-0.5544818979466059
1910,Jun,01-06-1910,109.868,61.00675714285713,1.3637417965875134
1910,Jul,01-07-1910,84.464,-96.49697142857144,-1.0330234588893354
1910,Aug,01-08-1910,170.467,8.451171428571456,0.08586350179731868
1910,Sep,01-09-1910,38.937,-57.27834285714286,-0.7514873996607506
1910,Oct,01-10-1910,2.553,-5.367599999999999,-0.45750767519829294
1910,Nov,01-11-1910,0.766,-7.961314285714284,-0.4892084941869385
1910,Dec,01-12-1910,0.0,-2.653542857142857,-0.5841881142377359
