YEAR,MONTH,Datetime,Rainfall,SPI
1909,Jun,01-06-1909,40.131,-0.19515538337443458
1909,Jul,01-07-1909,323.511,1.526032593557956
1909,Aug,01-08-1909,61.572,-1.0205045451941905
1909,Sep,01-09-1909,256.662,2.1050476523258865
1909,Oct,01-10-1909,0.0,-0.6751127677501304
1909,Nov,01-11-1909,0.039,-0.5338813412207617
1909,Dec,01-12-1909,5.524,0.6319426651701056
1910,Jan,01-01-1910,2.646,-0.15235055201663186
1910,Feb,01-02-1910,0.715,-0.3927357576122399
1910,Mar,01-03-1910,0.0,-0.5537650248555248
1910,Apr,01-04-1910,9.81,0.9203007820567967
1910,May,01-05-1910,2.865,-0.5544818979466059
1910,Jun,01-06-1910,109.868,1.3637417965875134
1910,Jul,01-07-1910,84.464,-1.0330234588893357
1910,Aug,01-08-1910,170.467,0.08586350179731868
1910,Sep,01-09-1910,38.937,-0.7514873996607506
1910,Oct,01-10-1910,2.553,-0.4575076751982931
1910,Nov,01-11-1910,0.766,-0.4892084941869385
1910,Dec,01-12-1910,0.0,-0.5841881142377359
1911,Jan,01-01-1911,3.577,0.06992183990895169
1911,Feb,01-02-1911,0.0,-0.5088186052213167
1911,Mar,01-03-1911,21.05,1.6428988531518403
1911,Apr,01-04-1911,0.0,-0.5528446396470086
1911,May,01-05-1911,0.004,-0.8714322450252131
1911,Jun,01-06-1911,38.845,-0.22390255881116203
1911,Jul,01-07-1911,20.769,-1.7148938662177284
1911,Aug,01-08-1911,33.769,-1.3029817095314415
1911,Sep,01-09-1911,136.674,0.5308144323567848
1911,Oct,01-10-1911,0.0,-0.6751127677501304
1911,Nov,01-11-1911,31.972,1.428344276841233
1911,Dec,01-12-1911,1.232,-0.3129583676355525
1912,Jan,01-01-1912,1.65,-0.3901414245814882
1912,Feb,01-02-1912,0.089,-0.4943691318825645
1912,Mar,01-03-1912,0.087,-0.5446861765236178
1912,Apr,01-04-1912,1.152,-0.37985141581390114
1912,May,01-05-1912,1.03,-0.7577688210117035
1912,Jun,01-06-1912,62.467,0.3041423697785557
1912,Jul,01-07-1912,196.551,0.16689503308362122
1912,Aug,01-08-1912,231.075,0.7016379137727202
1912,Sep,01-09-1912,68.823,-0.35938540602808294
1912,Oct,01-10-1912,19.958,1.026008437557182
1912,Nov,01-11-1912,55.868,2.896710649221205
1912,Dec,01-12-1912,0.41,-0.49392496804707414
1913,Jan,01-01-1913,0.0,-0.7840720869630278
1913,Feb,01-02-1913,3.473,0.055035562256059656
1913,Mar,01-03-1913,1.401,-0.407564260338265
1913,Apr,01-04-1913,0.0,-0.5528446396470086
1913,May,01-05-1913,12.739,0.5393900793529992
1913,Jun,01-06-1913,50.94,0.04646842634219649
1913,Jul,01-07-1913,96.399,-0.9052563922206119
1913,Aug,01-08-1913,58.362,-1.0531179932941288
1913,Sep,01-09-1913,72.984,-0.3047934099260442
1913,Oct,01-10-1913,0.0,-0.6751127677501304
1913,Nov,01-11-1913,0.047,-0.5333897555587662
1913,Dec,01-12-1913,1.797,-0.1885713491045189
1914,Jan,01-01-1914,0.0,-0.7840720869630278
1914,Feb,01-02-1914,3.628,0.08020037537411148
1914,Mar,01-03-1914,0.184,-0.5345637824064342
1914,Apr,01-04-1914,4.707,0.15399486085857855
1914,May,01-05-1914,14.813,0.7691541547955127
1914,Jun,01-06-1914,96.292,1.0602646163938798
1914,Jul,01-07-1914,148.925,-0.34295283597080994
1914,Aug,01-08-1914,117.045,-0.4569014902260106
1914,Sep,01-09-1914,104.604,0.11005852872967958
