Year,Rainfall,Month,SPI
1971-01-01,5.054017296463173,1,-5.07402166349677
1971-02-01,5.242548457287609,2,0.6642500692399593
1971-03-01,5.36520292539088,3,1.5996274906436307
1971-04-01,3.26394833417254,4,1.6444034971647374
1971-05-01,9.952528431544726,5,1.648725701456612
1971-06-01,46.31818092059323,6,1.6488036561905497
1971-07-01,222.1130286558036,7,1.6488045723214078
1971-08-01,178.93495422286568,8,1.6488045821698984
1971-09-01,93.06232030380048,9,1.648804582811582
1971-10-01,8.073179985268363,10,1.64880458283933
1971-11-01,5.834843660305662,11,1.6488045828835443
1971-12-01,3.602954123576504,12,1.6488045828866187
1972-01-01,5.249879242143295,1,0.6534543649351926
1972-02-01,5.252149249373288,2,1.6388611643725641
1972-03-01,5.364594937892353,3,1.5415671352164004
1972-04-01,3.2632524223553805,4,1.5354643904543936
1972-05-01,9.950310025344988,5,1.5348679331569004
1972-06-01,46.30784855982306,6,1.5348571635898556
1972-07-01,222.06348065907707,7,1.534857037022443
1972-08-01,178.89503819696935,8,1.534857035661695
1972-09-01,93.0415603688436,9,1.5348570355730693
1972-10-01,8.071379055623698,10,1.5348570355690079
1972-11-01,5.833542048927787,11,1.5348570355632871
1972-12-01,3.6021503923448908,12,1.5348570355625273
1973-01-01,5.248708122066714,1,0.6192079872545204
1973-02-01,5.250977622913432,2,1.5199251289978908
1973-03-01,5.363398227540608,3,1.4272861203367613
1973-04-01,3.262524470292009,4,1.421509654299244
1973-05-01,9.94809035374848,5,1.420945219468775
1973-06-01,46.29751840770902,6,1.4209350283093773
1973-07-01,222.0139437100388,7,1.420934908539689
1973-08-01,178.85513107507762,8,1.4209349072520059
1973-09-01,93.02080506490638,9,1.420934907168063
1973-10-01,8.069578527721674,10,1.4209349071642716
1973-11-01,5.832240727907632,11,1.4209349071588528
1973-12-01,3.60134684040612,12,1.420934907158203
1974-01-01,5.247537263238472,1,0.5849692491058475
1974-02-01,5.249806257814877,2,1.4010156253533976
1974-03-01,5.362201784145768,3,1.3130305987655413
1974-04-01,3.2617966806169965,4,1.3075803386677225
1974-05-01,9.945871177306593,5,1.3070479191608282
1974-06-01,46.28719056000009,6,1.3070383062800812
1974-07-01,221.9644178114862,7,1.3070381933064552
1974-08-01,178.8152328554919,8,1.3070381920918814
1974-09-01,93.0000543909715,9,1.3070381920127185
1974-10-01,8.067778401473532,10,1.3070381920091896
1974-11-01,5.830939697180472,11,1.3070381920040612
1974-12-01,3.6005434677201973,12,1.3070381920034064
1975-01-01,5.246366665600292,1,0.5507381487849892
1975-02-01,5.248635154019321,2,1.2821326475203885
1975-03-01,5.3610056076482815,3,1.1988005648158158
1975-04-01,3.261069053294118,4,1.1936764378890734
1975-05-01,9.943652495908871,5,1.1931760265640203
1975-06-01,46.27686501618221,6,1.1931669918328134
1975-07-01,221.9149029609542,7,1.1931668856538495
1975-08-01,178.77534353622633,8,1.193166884512343
1975-09-01,92.9793083460061,9,1.1931668844379353
1975-10-01,8.065978676789673,10,1.1931668844346728
1975-11-01,5.829638956681552,11,1.1931668844298535
1975-12-01,3.5997402742471363,12,1.1931668844292265
1976-01-01,5.2451963290939085,1,0.5165146845881253
1976-02-01,5.247464311468472,2,1.1632761895816055
1976-03-01,5.359809697988612,3,1.0845960128020147
1976-04-01,3.260341588287157,4,1.079797946293934
1976-05-01,9.94143430944488,5,1.0793295360103152
1976-06-01,46.26654177574144,6,1.0793210792999097
1976-07-01,221.8653991559783,7,1.079320979914022
1976-08-01,178.73546311529546,8,1.0793209788455498
1976-09-01,92.9585669289776,9,1.0793209787759406
1976-10-01,8.064179353580515,10,1.0793209787728624
1976-11-01,5.828338506346126,11,1.0793209787683349
1976-12-01,3.5989372599469585,12,1.079320978767756
1977-01-01,5.244026253661068,1,0.48229885481179763
1977-02-01,5.246293730104053,2,1.0444462456210586
1977-03-01,5.358614055107234,3,0.9704169370396737
1977-04-01,3.259614285559905,4,0.9659448582141189
1977-05-01,9.939216617804217,5,0.9655084418334976
1977-06-01,46.25622083816395,6,0.9655005630147273
1977-07-01,221.8159063940945,7,0.9655004704204301
1977-08-01,178.6955915907143,8,0.9655004694249552
1977-09-01,92.9378301388536,9,0.96550046936013
1977-10-01,8.062380431756502,10,0.9655004693572539
1977-11-01,5.827038346109468,11,0.9655004693530151
1977-12-01,3.598134424779695,12,0.9655004693524735
1978-01-01,5.242856439243533,1,0.4480906577529918
1978-02-01,5.245123409867801,2,0.9256428097241965
1978-03-01,5.357418678944634,3,0.8562633318455976
1978-04-01,3.2588871450761614,4,0.8521171679827663
1978-05-01,9.936999420876496,5,0.8517127383680841
1978-06-01,46.24590220293602,6,0.8517054373119511
1978-07-01,221.7664246728393,7,0.85170535150771
1978-08-01,178.6557289604983,8,0.8517053505853934
1978-09-01,92.91709797460194,9,0.8517053505252256
1978-10-01,8.060581911228093,10,0.8517053505225737
1978-11-01,5.825738475906864,11,0.8517053505186444
1978-12-01,3.5973317687053856,12,0.8517053505181172
1979-01-01,5.241686885783076,1,0.4138900917090033
1979-02-01,5.243953350701462,2,0.8068658759776407
1979-03-01,5.356223569441315,3,0.7421351915380348
1979-04-01,3.2581601667997333,4,0.7383148699341949
1979-05-01,9.934782718551356,5,0.7379424199497763
1979-06-01,46.23558586954407,6,0.7379356965276025
1979-07-01,221.7169539897499,7,0.7379356175120657
1979-08-01,178.61587522266325,8,0.7379356166625113
1979-09-01,92.89637043519072,9,0.7379356166071969
1979-10-01,8.05878379190577,10,0.7379356166047889
1979-11-01,5.824438895673612,11,0.7379356166011406
