Year,Rainfall
1971-01-01,5.054017296463173
1971-02-01,5.242548457287609
1971-03-01,5.3652029253908795
1971-04-01,3.26394833417254
1971-05-01,9.952528431544726
1971-06-01,46.31818092059323
1971-07-01,222.1130286558036
1971-08-01,178.93495422286568
1971-09-01,93.06232030380048
1971-10-01,8.073179985268363
1971-11-01,5.834843660305662
1971-12-01,3.602954123576504
1972-01-01,5.249879242143295
1972-02-01,5.2521492493732875
1972-03-01,5.364594937892353
1972-04-01,3.2632524223553805
1972-05-01,9.950310025344988
1972-06-01,46.30784855982306
1972-07-01,222.06348065907707
1972-08-01,178.89503819696935
1972-09-01,93.04156036884359
1972-10-01,8.071379055623698
1972-11-01,5.833542048927787
1972-12-01,3.6021503923448908
1973-01-01,5.248708122066714
1973-02-01,5.250977622913432
1973-03-01,5.363398227540608
1973-04-01,3.262524470292009
1973-05-01,9.94809035374848
1973-06-01,46.29751840770902
1973-07-01,222.01394371003877
1973-08-01,178.85513107507762
1973-09-01,93.02080506490638
1973-10-01,8.069578527721674
1973-11-01,5.832240727907632
1973-12-01,3.6013468404061197
1974-01-01,5.247537263238472
1974-02-01,5.249806257814877
1974-03-01,5.362201784145768
1974-04-01,3.2617966806169965
1974-05-01,9.945871177306593
1974-06-01,46.28719056000009
1974-07-01,221.9644178114862
1974-08-01,178.8152328554919
1974-09-01,93.0000543909715
1974-10-01,8.067778401473532
1974-11-01,5.830939697180472
1974-12-01,3.6005434677201973
1975-01-01,5.246366665600292
1975-02-01,5.248635154019321
1975-03-01,5.3610056076482815
1975-04-01,3.261069053294118
1975-05-01,9.943652495908871
1975-06-01,46.276865016182214
1975-07-01,221.9149029609542
1975-08-01,178.77534353622633
1975-09-01,92.9793083460061
1975-10-01,8.065978676789673
1975-11-01,5.829638956681552
1975-12-01,3.5997402742471363
1976-01-01,5.2451963290939085
1976-02-01,5.247464311468472
1976-03-01,5.359809697988612
1976-04-01,3.260341588287157
1976-05-01,9.941434309444881
1976-06-01,46.26654177574144
1976-07-01,221.8653991559783
1976-08-01,178.73546311529546
1976-09-01,92.9585669289776
1976-10-01,8.064179353580515
1976-11-01,5.828338506346126
1976-12-01,3.5989372599469585
1977-01-01,5.244026253661068
1977-02-01,5.246293730104053
1977-03-01,5.358614055107234
1977-04-01,3.259614285559905
1977-05-01,9.939216617804217
1977-06-01,46.25622083816395
1977-07-01,221.8159063940945
1977-08-01,178.6955915907143
1977-09-01,92.9378301388536
1977-10-01,8.062380431756502
1977-11-01,5.827038346109468
1977-12-01,3.598134424779695
1978-01-01,5.242856439243533
1978-02-01,5.245123409867801
1978-03-01,5.357418678944634
1978-04-01,3.2588871450761614
1978-05-01,9.936999420876495
1978-06-01,46.24590220293602
1978-07-01,221.76642467283932
1978-08-01,178.65572896049827
1978-09-01,92.91709797460194
1978-10-01,8.060581911228093
1978-11-01,5.825738475906864
1978-12-01,3.5973317687053856
1979-01-01,5.241686885783076
1979-02-01,5.243953350701462
1979-03-01,5.356223569441315
1979-04-01,3.2581601667997333
1979-05-01,9.934782718551356
1979-06-01,46.23558586954407
1979-07-01,221.7169539897499
1979-08-01,178.61587522266325
1979-09-01,92.89637043519072
1979-10-01,8.05878379190577
1979-11-01,5.824438895673612
1979-12-01,3.5965292916840794
1980-01-01,5.240517593221485
1980-02-01,5.2427835525468
1980-03-01,5.3550287265377925
1980-04-01,3.257433350694436
1980-05-01,9.932566510718466
1980-06-01,46.2252718374746
1980-07-01,221.66749434236385
1980-08-01,178.5760303752256
1980-09-01,92.87564751958824
1980-10-01,8.056986073700031
1980-11-01,5.82313960534503
1980-12-01,3.5957269936758336
1981-01-01,5.239348561500559
1981-02-01,5.241614015345588
1981-03-01,5.353834150174594
1981-04-01,3.2567066967240934
1981-05-01,9.930350797267517
1981-06-01,46.21496010621425
1981-07-01,221.6180457282194
1981-08-01,178.53619441620208
1981-09-01,92.85492922676305
1981-10-01,8.0551887565214
1981-11-01,5.821840604856447
1981-12-01,3.594924874640715
1982-01-01,5.238179790562111
1982-02-01,5.240444739039615
1982-03-01,5.35263984029226
1982-04-01,3.2559802048525373
1982-05-01,9.928135578088224
1982-06-01,46.204650675249766
1982-07-01,221.56860814485532
1982-08-01,178.49636734360988
1982-09-01,92.83421555568391
1982-10-01,8.053391840280415
1982-11-01,5.820541894143204
1982-12-01,3.5941229345387993
1983-01-01,5.237011280347967
1983-02-01,5.239275723570682
1983-03-01,5.351445796831345
1983-04-01,3.255253875043607
1983-05-01,9.925920853070327
1983-06-01,46.194343544068005
1983-07-01,221.51918158981087
1983-08-01,178.45654915546666
1983-09-01,92.81350650531984
1983-10-01,8.05159532488764
1983-11-01,5.819243473140662
1983-12-01,3.59332117333017
1984-01-01,5.235843030799965
1984-02-01,5.238106968880601
1984-03-01,5.350252019732418
1984-04-01,3.2545277072611505
1984-05-01,9.923706622103591
1984-06-01,46.18403871215594
1984-07-01,221.46976606062591
1984-08-01,178.41673984979053
1984-09-01,92.79280207464005
1984-10-01,8.049799210253653
1984-11-01,5.817945341784192
1984-12-01,3.5925195909749212
1985-01-01,5.234675041859958
1985-02-01,5.236938474911199
1985-03-01,5.34905850893606
1985-04-01,3.253801701469024
1985-05-01,9.921492885077804
1985-06-01,46.17373617900066
1985-07-01,221.42036155484087
1985-08-01,178.3769394246
1985-09-01,92.77210226261401
1985-10-01,8.048003496289054
1985-11-01,5.816647500009181
1985-12-01,3.5917181874331545
1986-01-01,5.2335073134698105
1986-02-01,5.235770241604316
1986-03-01,5.347865264382865
1986-04-01,3.2530758576310914
