Year,Rainfall
1971-01-01,-6.739860774055123
1971-02-01,-4.267853047773242
1971-03-01,-2.578724842183292
1971-04-01,-2.7081821791455147
1971-05-01,-2.449490614272654
1971-06-01,25.458977256827055
1971-07-01,197.04650687634944
1971-08-01,199.54584208101033
1971-09-01,121.42754754334688
1971-10-01,34.376071373857556
1971-11-01,-6.728698560595512
1971-12-01,-9.650764570087194
1972-01-01,-7.416824343167245
1972-02-01,-3.949469670280814
1972-03-01,-2.1471609471738335
1972-04-01,-0.2701444961875677
1972-05-01,1.0745405185967682
1972-06-01,16.02128352122381
1972-07-01,69.5732584272325
1972-08-01,176.76751669853925
1972-09-01,98.96909293204546
1972-10-01,21.334324725549667
1972-11-01,1.5992659644037484
1972-12-01,-3.9174230974167585
1973-01-01,-4.185603557862342
1973-02-01,-3.7829931329563258
1973-03-01,-1.8902204503118991
1973-04-01,-0.6965498394891619
1973-05-01,3.5549283560737965
1973-06-01,20.788316028397528
1973-07-01,168.28555960178375
1973-08-01,162.0638188934326
1973-09-01,117.78255411967635
1973-10-01,45.39218558952212
1973-11-01,-0.6757060453668237
1973-12-01,-7.002882682792842
1974-01-01,-7.350953085906803
1974-02-01,-5.210495551601052
1974-03-01,-3.3629125932231543
1974-04-01,-2.213573074862361
1974-05-01,1.2817648817971348
1974-06-01,20.833221795689315
1974-07-01,107.13919766172766
1974-08-01,173.27425095170736
1974-09-01,118.8110327604413
1974-10-01,47.03410256762057
1974-11-01,2.738717695251107
1974-12-01,-5.03657528501004
1975-01-01,-5.913228216171264
1975-02-01,-4.79396447405219
1975-03-01,-2.756096538193524
1975-04-01,-2.1470561535283923
1975-05-01,1.1827213650941848
1975-06-01,17.560707243420183
1975-07-01,180.08121346324683
1975-08-01,164.914990311563
1975-09-01,106.87143299542367
1975-10-01,45.364141457825895
1975-11-01,-2.1257965652644635
1975-12-01,-7.512893072515726
1976-01-01,-7.400611752085387
1976-02-01,-5.072123993895948
1976-03-01,-2.9017089987546205
1976-04-01,-1.8996417370811105
1976-05-01,1.3204303565248847
1976-06-01,21.291687233615665
1976-07-01,154.64829601973295
