Year,Rainfall,Month,SPI
1971-01-01,-6.739860774055123,1,0.07504691506989059
1971-02-01,-4.267853047773242,2,-0.3257216515486537
1971-03-01,-2.578724842183292,3,-0.9700116599404123
1971-04-01,-2.7081821791455147,4,-2.9514393218038966
1971-05-01,-2.449490614272654,5,-4.226775179526857
1971-06-01,25.45897725682705,6,0.6778116827161305
1971-07-01,197.04650687634944,7,0.12020826515998762
1971-08-01,199.54584208101036,8,3.6108586732703385
1971-09-01,121.42754754334688,9,2.238441912369478
1971-10-01,34.37607137385756,10,1.2919311297453704
1971-11-01,-6.728698560595512,11,-1.313729723392942
1971-12-01,-9.650764570087194,12,-2.7677917591052434
1972-01-01,-7.416824343167245,1,-1.0841459954023451
1972-02-01,-3.949469670280814,2,0.5940696322689287
1972-03-01,-2.147160947173833,3,0.38067994060726157
1972-04-01,-0.2701444961875677,4,2.5175774439916454
1972-05-01,1.0745405185967682,5,-1.1102980846082753
1972-06-01,16.02128352122381,6,-3.1655048311213556
1972-07-01,69.5732584272325,7,-3.9459610028160665
1972-08-01,176.76751669853925,8,1.9665445040666722
1972-09-01,98.96909293204546,9,-0.7947861065942505
1972-10-01,21.334324725549667,10,0.17771692114731133
1972-11-01,1.5992659644037484,11,2.669871274272069
1972-12-01,-3.917423097416759,12,3.5917596138808445
1973-01-01,-4.185603557862342,1,4.448807914375302
1973-02-01,-3.7829931329563258,2,1.0750107831455589
1973-03-01,-1.8902204503118991,3,1.1848421399134703
1973-04-01,-0.6965498394891619,4,1.561063117801287
1973-05-01,3.5549283560737965,5,1.0832330138861999
1973-06-01,20.788316028397528,6,-1.2242239133368578
1973-07-01,168.28555960178377,7,-0.7972146557158369
1973-08-01,162.0638188934326,8,0.9051188621610169
1973-09-01,117.78255411967636,9,1.7461508632759941
1973-10-01,45.39218558952212,10,2.2330865833536517
1973-11-01,-0.6757060453668237,11,1.581660494725933
1973-12-01,-7.002882682792842,12,0.16929841285067077
1974-01-01,-7.350953085906803,1,-0.9713518984905362
1974-02-01,-5.210495551601052,2,-3.048961682499775
1974-03-01,-3.3629125932231543,3,-3.4243314508921046
1974-04-01,-2.213573074862361,4,-1.8419300214563266
1974-05-01,1.2817648817971348,5,-0.927039209452656
1974-06-01,20.833221795689315,6,-1.2059369163401246
1974-07-01,107.13919766172766,7,-2.747674542744151
1974-08-01,173.27425095170736,8,1.714373799334811
1974-09-01,118.8110327604413,9,1.8850566911286415
1974-10-01,47.03410256762057,10,2.3733628266874427
1974-11-01,2.738717695251107,11,3.2149169499793673
1974-12-01,-5.03657528501004,12,2.3503708242690275
