Year,Rainfall,Month,Precipitation_Anomaly,SPAI
1971-01-01,-6.739860774055123,1,0.043827068831771676,0.0750469150698917
1971-02-01,-4.267853047773242,2,-0.11274770849322291,-0.3257216515486537
1971-03-01,-2.578724842183292,3,-0.3099316009655597,-0.9700116599404118
1971-04-01,-2.7081821791455147,4,-1.3157246711192034,-2.951439321803896
1971-05-01,-2.449490614272654,5,-4.779527290150524,-4.226775179526857
1971-06-01,25.45897725682705,6,1.664442428526776,0.6778116827161311
1971-07-01,197.04650687634944,7,3.7684948757688517,0.12020826515998734
1971-08-01,199.54584208101036,8,50.02043728036685,3.6108586732703385
1971-09-01,121.42754754334688,9,16.57374446453902,2.238441912369478
1971-10-01,34.37607137385756,10,15.12190236956441,1.29193112974537
1971-11-01,-6.728698560595512,11,-2.746433324589084,-1.313729723392942
1971-12-01,-9.650764570087194,12,-2.4952538865556315,-2.767791759105244
1972-01-01,-7.416824343167245,1,-0.63313650028035,-1.0841459954023445
1972-02-01,-3.949469670280814,2,0.20563566899920493,0.5940696322689294
1972-03-01,-2.147160947173833,3,0.12163229404389897,0.38067994060726246
1972-04-01,-0.2701444961875677,4,1.1223130118387437,2.5175774439916454
1972-05-01,1.0745405185967682,5,-1.2554961572811012,-1.1102980846082753
1972-06-01,16.02128352122381,6,-7.773251307076464,-3.1655048311213547
1972-07-01,69.5732584272325,7,-123.70475357334809,-3.9459610028160665
1972-08-01,176.76751669853925,8,27.24211189789574,1.966544504066669
1972-09-01,98.96909293204546,9,-5.8847101467624015,-0.7947861065942509
1972-10-01,21.334324725549667,10,2.0801557212565136,0.17771692114731133
1972-11-01,1.5992659644037484,11,5.581531200410176,2.669871274272069
1972-12-01,-3.917423097416759,12,3.2380875861148035,3.5917596138808445
1973-01-01,-4.185603557862342,1,2.5980842850245534,4.448807914375302
1973-02-01,-3.7829931329563258,2,0.37211220632369324,1.0750107831455595
1973-03-01,-1.8902204503118991,3,0.37857279090583296,1.1848421399134712
1973-04-01,-0.6965498394891619,4,0.6959076685371494,1.561063117801287
1973-05-01,3.5549283560737965,5,1.224891680195927,1.0832330138861999
1973-06-01,20.788316028397528,6,-3.006218799902747,-1.2242239133368575
1973-07-01,168.28555960178377,7,-24.992452398796814,-0.7972146557158373
1973-08-01,162.0638188934326,8,12.538414092789083,0.9051188621610149
1973-09-01,117.78255411967636,9,12.928751040868505,1.7461508632759941
1973-10-01,45.39218558952212,10,26.138016585228968,2.2330865833536517
1973-11-01,-0.6757060453668237,11,3.306559190639604,1.581660494725933
1973-12-01,-7.002882682792842,12,0.15262800073872018,0.16929841285067135
1974-01-01,-7.350953085906803,1,-0.5672652430199081,-0.9713518984905353
1974-02-01,-5.210495551601052,2,-1.0553902123210328,-3.048961682499776
1974-03-01,-3.3629125932231543,3,-1.0941193520054222,-3.4243314508921054
1974-04-01,-2.213573074862361,4,-0.8211155668360497,-1.8419300214563261
1974-05-01,1.2817648817971348,5,-1.0482717940807347,-0.927039209452656
1974-06-01,20.833221795689315,6,-2.96131303261096,-1.2059369163401237
1974-07-01,107.13919766172766,7,-86.13881433885292,-2.747674542744151
1974-08-01,173.27425095170736,8,23.748846151063844,1.7143737993348074
1974-09-01,118.8110327604413,9,13.957229681633436,1.8850566911286415
1974-10-01,47.03410256762057,10,27.77993356332742,2.3733628266874427
1974-11-01,2.738717695251107,11,6.720982931257534,3.2149169499793673
1974-12-01,-5.03657528501004,12,2.118935398521523,2.3503708242690275
1975-01-01,-5.913228216171264,1,0.8704596267156308,1.490524267745268
1975-02-01,-4.79396447405219,2,-0.6388591347721713,-1.8456273326161978
1975-03-01,-2.756096538193524,3,-0.4873032969757918,-1.5251425750756202
1975-04-01,-2.1470561535283923,4,-0.754598645502081,-1.6927189733550434
1975-05-01,1.1827213650941848,5,-1.1473153107836846,-1.0146283480178415
1975-06-01,17.560707243420183,6,-6.233827584880093,-2.538604575713532
1975-07-01,180.08121346324685,7,-13.196798537333734,-0.420954335917762
1975-08-01,164.914990311563,8,15.389585510919488,1.1109382752627366
1975-09-01,106.87143299542367,9,2.0176299166158174,0.2725001208185903
1975-10-01,45.364141457825895,10,26.10997245353274,2.2306906489097176
1975-11-01,-2.1257965652644635,11,1.8564686707419642,0.8880237693978642
1975-12-01,-7.512893072515726,12,-0.3573823889841634,-0.39641658767041044
1976-01-01,-7.400611752085387,1,-0.6169239091984924,-1.0563845005450603
1976-02-01,-5.072123993895948,2,-0.9170186546159291,-2.649214202880043
