YEAR,MONTH,Datetime,Rainfall,Precipitation_Anomaly,SPAI
1901,Jan,01-01-1901,8.283,2.896971428571428,0.5270766067815488
1901,Feb,01-02-1901,3.36,-2.982242857142857,-0.3058281165300182
1901,Mar,01-03-1901,1.562,-3.2688857142857133,-0.4531838114989599
1901,Apr,01-04-1901,0.072,-4.255457142857143,-0.6002562270223427
1901,May,01-05-1901,5.268,-4.492614285714285,-0.4180808609382881
1901,Jun,01-06-1901,19.634,-30.458400000000005,-0.6659842831734982
1901,Jul,01-07-1901,183.812,-29.223528571428545,-0.2850967880126851
1901,Aug,01-08-1901,126.277,-44.953800000000044,-0.48382221194295566
1901,Sep,01-09-1901,3.932,-86.48257142857143,-1.3253427360102872
1901,Oct,01-10-1901,3.943,-3.6008857142857145,-0.3294571908237874
1901,Nov,01-11-1901,0.0,-5.650599999999999,-0.5152376445279412
1901,Dec,01-12-1901,9.235,5.080314285714286,0.776417794689405
1902,Jan,01-01-1902,0.387,-4.999028571428571,-0.9095260625100154
1902,Feb,01-02-1902,0.0,-6.342242857142857,-0.6503951155186041
1902,Mar,01-03-1902,0.335,-4.495885714285714,-0.6232896473436151
1902,Apr,01-04-1902,0.781,-3.5464571428571428,-0.5002477788881189
1902,May,01-05-1902,1.5,-8.260614285714285,-0.7687294107202569
1902,Jun,01-06-1902,81.419,31.326599999999992,0.6849678001885491
1902,Jul,01-07-1902,154.98,-58.05552857142857,-0.5663739298845339
1902,Aug,01-08-1902,107.496,-63.73480000000005,-0.6859556236345291
1902,Sep,01-09-1902,63.973,-26.441571428571436,-0.4052162654587385
1902,Oct,01-10-1902,0.799,-6.744885714285714,-0.6171123651717618
1902,Nov,01-11-1902,0.94,-4.7105999999999995,-0.4295257934225251
1902,Dec,01-12-1902,0.165,-3.989685714285714,-0.6097384550597756
1903,Jan,01-01-1903,0.861,-4.525028571428572,-0.8232862366178927
1903,Feb,01-02-1903,0.509,-5.8332428571428565,-0.5981973171599165
1903,Mar,01-03-1903,0.389,-4.441885714285713,-0.6158033269396936
1903,Apr,01-04-1903,0.0,-4.327457142857143,-0.6104122330387941
1903,May,01-05-1903,12.095,2.334385714285716,0.21723698655680243
1903,Jun,01-06-1903,2.077,-48.01540000000001,-1.049874640502744
1903,Jul,01-07-1903,271.198,58.16247142857142,0.5674172352813409
1903,Aug,01-08-1903,179.982,8.751199999999955,0.09418614090811438
1903,Sep,01-09-1903,115.55,25.135428571428562,0.38519966651503357
1903,Oct,01-10-1903,4.958,-2.5858857142857143,-0.23659141411793683
1903,Nov,01-11-1903,0.0,-5.650599999999999,-0.5152376445279412
1903,Dec,01-12-1903,0.004,-4.150685714285714,-0.6343438747080248
1904,Jan,01-01-1904,1.285,-4.1010285714285715,-0.7461434387734622
1904,Feb,01-02-1904,2.291,-4.0512428571428565,-0.41545374805347
1904,Mar,01-03-1904,21.094,16.263114285714288,2.254646005711965
1904,Apr,01-04-1904,0.0,-4.327457142857143,-0.6104122330387941
1904,May,01-05-1904,13.461,3.7003857142857157,0.34435639181215516
1904,Jun,01-06-1904,60.482,10.389599999999994,0.22717248143235952
1904,Jul,01-07-1904,185.587,-27.448528571428568,-0.26778037129436777
1904,Aug,01-08-1904,128.585,-42.64580000000004,-0.4589820056608542
1904,Sep,01-09-1904,69.164,-21.250571428571433,-0.32566435078987727
1904,Oct,01-10-1904,8.099,0.5551142857142857,0.050789280101842915
1904,Nov,01-11-1904,10.663,5.012400000000001,0.45704476859658305
1904,Dec,01-12-1904,14.801,10.646314285714286,1.6270623025288693
1905,Jan,01-01-1905,8.087,2.700971428571428,0.49141625683459517
1905,Feb,01-02-1905,11.627,5.284757142857144,0.5419502705648156
1905,Mar,01-03-1905,2.13,-2.7008857142857137,-0.37443881169475113
1905,Apr,01-04-1905,7.592,3.2645428571428567,0.46048217914036993
1905,May,01-05-1905,1.23,-8.530614285714284,-0.7938555010708759
1905,Jun,01-06-1905,23.675,-26.417400000000004,-0.5776263100592144
1905,Jul,01-07-1905,94.804,-118.23152857142856,-1.1534346016825485
1905,Aug,01-08-1905,5.472,-165.75880000000004,-1.784004672908853
1905,Sep,01-09-1905,52.133,-38.28157142857143,-0.5866638997641355
1905,Oct,01-10-1905,0.0,-7.5438857142857145,-0.6902155726475988
1905,Nov,01-11-1905,0.0,-5.650599999999999,-0.5152376445279412
1905,Dec,01-12-1905,0.444,-3.710685714285714,-0.5670992495823755
1906,Jan,01-01-1906,0.04,-5.346028571428572,-0.9726594371610002
1906,Feb,01-02-1906,58.635,52.29275714285714,5.362606665811055
1906,Mar,01-03-1906,4.81,-0.020885714285713952,-0.002895502759400362
