Year,Rainfall,Month,Precipitation_Anomaly,SPAI
1971-01-01,5.054017296463173,1,-0.17351582974807211,-5.074021663496779
1971-02-01,5.242548457287609,2,0.006543458041387673,0.6642500692399482
1971-03-01,5.36520292539088,3,0.01675073308551056,1.5996274906437136
1971-04-01,3.26394833417254,4,0.010504582426015041,1.6444034971647237
1971-05-01,9.952528431544726,5,0.032123792450864386,1.6487257014567316
1971-06-01,46.31818092059323,6,0.14950907067089503,1.6488036561904393
1971-07-01,222.1130286558036,7,0.7169524407675851,1.6488045723213611
1971-08-01,178.93495422286568,8,0.5775791442349316,1.648804582169953
1971-09-01,93.06232030380048,9,0.3003932662465587,1.6488045828116729
1971-10-01,8.073179985268363,10,0.02605919234443732,1.6488045828395392
1971-11-01,5.834843660305662,11,0.018834128995704802,1.6488045828833433
1971-12-01,3.602954123576504,12,0.011629875054037786,1.6488045828867322
1972-01-01,5.249879242143295,1,0.022346115932049493,0.6534543649351762
1972-02-01,5.252149249373288,2,0.016144250127067217,1.638861164372528
1972-03-01,5.364594937892353,3,0.016142745586983587,1.5415671352164815
1972-04-01,3.2632524223553805,4,0.009808670608855596,1.5354643904543783
1972-05-01,9.950310025344988,5,0.029905386251126487,1.5348679331570143
1972-06-01,46.30784855982306,6,0.13917670990072395,1.5348571635897517
1972-07-01,222.06348065907707,7,0.6674044440410682,1.5348570370223986
1972-08-01,178.89503819696935,8,0.5376631183385996,1.5348570356617461
1972-09-01,93.0415603688436,9,0.2796333312896877,1.5348570355731543
1972-10-01,8.071379055623698,10,0.024258262699772715,1.5348570355692033
1972-11-01,5.833542048927787,11,0.01753251761782959,1.5348570355630988
1972-12-01,3.6021503923448908,12,0.010826143822424417,1.534857035562637
1973-01-01,5.248708122066714,1,0.02117499585546856,0.619207987254504
1973-02-01,5.250977622913432,2,0.014972623667210527,1.5199251289978575
1973-03-01,5.363398227540608,3,0.014946035235237964,1.4272861203368366
1973-04-01,3.262524470292009,4,0.009080718545483979,1.4215096542992272
1973-05-01,9.94809035374848,5,0.02768571465461811,1.4209452194688839
1973-06-01,46.29751840770902,6,0.1288465577866873,1.4209350283092808
1973-07-01,222.0139437100388,7,0.6178674950027983,1.4209349085396483
1973-08-01,178.85513107507762,8,0.49775599644686963,1.4209349072520525
1973-09-01,93.02080506490638,9,0.25887802735246623,1.4209349071681414
1973-10-01,8.069578527721674,10,0.02245773479774904,1.4209349071644537
1973-11-01,5.832240727907632,11,0.01623119659767447,1.4209349071586796
1973-12-01,3.60134684040612,12,0.010022591883653842,1.420934907158308
1974-01-01,5.247537263238472,1,0.02000413702722703,0.5849692491058314
1974-02-01,5.249806257814877,2,0.013801258568656216,1.401015625353368
1974-03-01,5.362201784145768,3,0.013749591840397812,1.3130305987656112
1974-04-01,3.2617966806169965,4,0.008352928870471565,1.3075803386677038
1974-05-01,9.945871177306593,5,0.025466538212731038,1.3070479191609314
1974-06-01,46.28719056000009,6,0.11851871007775827,1.3070383062799902
1974-07-01,221.9644178114862,7,0.5683415964501819,1.3070381933064183
1974-08-01,178.8152328554919,8,0.4578577768611467,1.307038192091924
1974-09-01,93.0000543909715,9,0.23812735341758184,1.30703819201279
1974-10-01,8.067778401473532,10,0.020657608549607076,1.3070381920093608
1974-11-01,5.830939697180472,11,0.01493016587051521,1.3070381920039007
1974-12-01,3.6005434677201973,12,0.009219219197730943,1.3070381920035077
1975-01-01,5.246366665600292,1,0.018833539389047083,0.550738148784973
1975-02-01,5.248635154019321,2,0.012630154773099811,1.2821326475203616
1975-03-01,5.3610056076482815,3,0.012553415342911656,1.1988005648158815
1975-04-01,3.261069053294118,4,0.007625301547593111,1.1936764378890548
1975-05-01,9.943652495908871,5,0.023247856815009627,1.1931760265641191
1975-06-01,46.27686501618221,6,0.10819316625987341,1.1931669918327292
1975-07-01,221.9149029609542,7,0.5188267459182043,1.193166885653815
1975-08-01,178.77534353622633,8,0.41796845759557755,1.1931668845123822
1975-09-01,92.9793083460061,9,0.21738130845218961,1.1931668844380008
1975-10-01,8.065978676789673,10,0.018857883865747382,1.1931668844348313
1975-11-01,5.829638956681552,11,0.013629425371594728,1.1931668844297065
1975-12-01,3.5997402742471363,12,0.008416025724669929,1.1931668844293237
1976-01-01,5.2451963290939085,1,0.01766320288266332,0.5165146845881088
1976-02-01,5.247464311468472,2,0.01145931222225105,1.1632761895815822
1976-03-01,5.359809697988612,3,0.01135750568324223,1.084596012802076
1976-04-01,3.260341588287157,4,0.006897836540632252,1.0797979462939133
1976-05-01,9.94143430944488,5,0.02102967035101777,1.0793295360104083
1976-06-01,46.26654177574144,6,0.09786992581910425,1.0793210792998331
1976-07-01,221.8653991559783,7,0.4693229409423054,1.0793209799139902
1976-08-01,178.73546311529546,8,0.3780880366647068,1.0793209788455849
1976-09-01,92.9585669289776,9,0.1966398914236862,1.0793209787759985
1976-10-01,8.064179353580515,10,0.01705856065659006,1.079320978773008
1976-11-01,5.828338506346126,11,0.012328975036169254,1.0793209787682032
1976-12-01,3.5989372599469585,12,0.007613011424492111,1.0793209787678488
1977-01-01,5.244026253661068,1,0.016493127449822786,0.4822988548117814
1977-02-01,5.246293730104053,2,0.010288730857832107,1.0444462456210382
1977-03-01,5.358614055107234,3,0.010161862801863819,0.9704169370397301
1977-04-01,3.259614285559905,4,0.006170533813380175,0.9659448582140964
1977-05-01,9.939216617804217,5,0.018811978710354893,0.9655084418335862
1977-06-01,46.25622083816395,6,0.08754898824161472,0.9655005630146561
1977-07-01,221.8159063940945,7,0.4198301790584935,0.9655004704204024
